function_name, calculator,N,init_time, calc_time, calc_hz, bytes, max_error, blank_column, err1, err2, err3, Blank
Smooth_poly,DCT+Bessel+IDCT                    ,276,0.168,1.19532e+07,83.6597,8, 1.20601,,0.0320709,0.284355,1.20601,
Smooth_poly,DCT+Bessel+IDCT                    ,280,0.212,8.63266e+06,115.839,8, 1.20628,,0.0321668,0.284437,1.20628,
Smooth_poly,DCT+Bessel+IDCT                    ,284,0.137,2.23382e+07,44.7663,8, 1.20654,,0.03226,0.284516,1.20654,
Smooth_poly,DCT+Bessel+IDCT                    ,288,0.137,8.96227e+06,111.579,8, 1.20679,,0.0323507,0.284592,1.20679,
Smooth_poly,DCT+Bessel+IDCT                    ,292,0.144,2.41391e+07,41.4265,8, 1.20704,,0.0324389,0.284667,1.20704,
Smooth_poly,DCT+Bessel+IDCT                    ,296,0.135,1.66068e+07,60.2163,8, 1.20727,,0.0325248,0.284739,1.20727,
Smooth_poly,DCT+Bessel+IDCT                    ,300,0.226,9.1636e+06,109.127,8, 1.20751,,0.0326084,0.28481,1.20751,
Smooth_poly,DCT+Bessel+IDCT                    ,304,0.179,1.62041e+07,61.7129,8, 1.20774,,0.0326899,0.284879,1.20774,
Smooth_poly,DCT+Bessel+IDCT                    ,308,0.117,1.22815e+07,81.4233,8, 1.20796,,0.0327693,0.284946,1.20796,
Smooth_poly,DCT+Bessel+IDCT                    ,312,0.15,1.23506e+07,80.9679,8, 1.20817,,0.0328467,0.285011,1.20817,
Smooth_poly,DCT+Bessel+IDCT                    ,316,0.176,3.25728e+07,30.7004,8, 1.20838,,0.0329222,0.285075,1.20838,
Smooth_poly,DCT+Bessel+IDCT                    ,320,0.146,1.10675e+07,90.3547,8, 1.20858,,0.0329959,0.285137,1.20858,
Smooth_poly,DCT+Bessel+IDCT                    ,324,0.148,1.21454e+07,82.3359,8, 1.20878,,0.0330678,0.285197,1.20878,
Smooth_poly,DCT+Bessel+IDCT                    ,328,0.178,2.19158e+07,45.6291,8, 1.20898,,0.033138,0.285256,1.20898,
Smooth_poly,DCT+Bessel+IDCT                    ,332,0.202,3.4326e+07,29.1324,8, 1.20917,,0.0332066,0.285314,1.20917,
Smooth_poly,DCT+Bessel+IDCT                    ,336,0.216,1.33607e+07,74.8464,8, 1.20936,,0.0332735,0.28537,1.20936,
Smooth_poly,DCT+Bessel+IDCT                    ,340,0.237,1.76232e+07,56.7432,8, 1.20954,,0.0333388,0.285425,1.20954,
Smooth_poly,DCT+Bessel+IDCT                    ,344,0.181,2.8547e+07,35.03,8, 1.20971,,0.0334027,0.285478,1.20971,
Smooth_poly,DCT+Bessel+IDCT                    ,348,0.224,2.48148e+07,40.2985,8, 1.20988,,0.0334651,0.28553,1.20988,
