FunctionName, Calculator,N,Init time (s), Calc.time(s), Calc.Freq(hz), Bytes, MaxError, FirstBlank, Err1, Err2, Err3, Blank
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,296,0.442,8.23148e+07,12.1485,8, 1.12164e-11,,2.64158e-12,5.21428e-12,1.12164e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,300,0.531,5.67838e+07,17.6107,8, 1.50634e-11,,3.01441e-12,5.45004e-12,1.50634e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,304,0.502,9.86603e+07,10.1358,8, 1.51064e-11,,2.97081e-12,3.7517e-12,1.51064e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,308,0.366,6.92606e+07,14.4382,8, 1.35389e-11,,2.85235e-12,4.50442e-12,1.35389e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,312,0.428,8.3188e+07,12.021,8, 8.86544e-12,,2.68183e-12,5.26557e-12,8.86544e-12,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,316,0.674,1.36434e+08,7.32956,8, 1.25336e-11,,2.32564e-12,6.02672e-12,1.25336e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,320,0.485,6.54328e+07,15.2829,8, 1.58882e-11,,2.12799e-12,6.78841e-12,1.58882e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,324,0.363,9.22431e+07,10.8409,8, 1.49577e-11,,1.99652e-12,7.54516e-12,1.49577e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,328,0.541,1.28416e+08,7.78721,8, 1.36386e-11,,2.50019e-12,8.28506e-12,1.36386e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,332,0.781,1.57043e+08,6.36769,8, 1.00837e-11,,2.89664e-12,9.01324e-12,1.00837e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,336,0.612,8.5242e+07,11.7313,8, 1.34697e-11,,2.87948e-12,9.72071e-12,1.34697e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,340,0.647,9.2166e+07,10.85,8, 1.61112e-11,,2.78983e-12,1.04003e-11,1.61112e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,344,0.588,1.18534e+08,8.43638,8, 1.66021e-11,,2.64949e-12,1.10584e-11,1.66021e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,348,0.678,1.27704e+08,7.83062,8, 1.16885e-11,,2.32216e-12,1.16885e-11,1.07022e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,352,0.49,9.71903e+07,10.2891,8, 1.40869e-11,,1.99408e-12,3.57428e-12,1.40869e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,356,0.901,2.09541e+08,4.77234,8, 1.39191e-11,,1.8353e-12,3.60588e-12,1.39191e-11,
